epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,53.2457,1.38476,0.65743,0.97914,0.96725,0.000302802,0.000302802,0.000302802
2,101.016,1.01282,0.72686,0.98338,0.78062,0.000593808,0.000593808,0.000593808
3,148.285,0.93639,0.71871,0.98892,0.79486,0.000872814,0.000872814,0.000872814
4,196.216,0.87549,0.73305,0.98761,0.76175,0.000855005,0.000855005,0.000855005
5,244.627,0.81418,0.7601,0.98957,0.68067,0.000837007,0.000837007,0.000837007
6,293.702,0.76586,0.77803,0.9912,0.64592,0.000819009,0.000819009,0.000819009
7,343.117,0.73304,0.79531,0.99218,0.59297,0.000801011,0.000801011,0.000801011
8,392.899,0.68885,0.79498,0.9925,0.62481,0.000783013,0.000783013,0.000783013
9,442.797,0.65941,0.79563,0.99381,0.593,0.000765014,0.000765014,0.000765014
10,492.958,0.64494,0.79824,0.99641,0.58541,0.000747016,0.000747016,0.000747016
11,543.592,0.61308,0.81421,0.99316,0.53286,0.000729018,0.000729018,0.000729018
12,594.218,0.5953,0.80443,0.99544,0.5428,0.00071102,0.00071102,0.00071102
13,644.017,0.57098,0.82562,0.99381,0.50258,0.000693022,0.000693022,0.000693022
14,694.188,0.54872,0.82627,0.99348,0.50009,0.000675023,0.000675023,0.000675023
15,744.157,0.53236,0.82301,0.99478,0.5087,0.000657025,0.000657025,0.000657025
16,794.935,0.52037,0.82203,0.99576,0.50113,0.000639027,0.000639027,0.000639027
17,845.3,0.50694,0.82334,0.99446,0.51054,0.000621029,0.000621029,0.000621029
18,895.854,0.47997,0.83116,0.99446,0.49929,0.000603031,0.000603031,0.000603031
19,946.415,0.46113,0.8354,0.99511,0.48152,0.000585032,0.000585032,0.000585032
20,997.767,0.46415,0.82595,0.99348,0.50772,0.000567034,0.000567034,0.000567034
21,1049.99,0.45803,0.8367,0.99478,0.46636,0.000549036,0.000549036,0.000549036
22,1100.38,0.43311,0.83996,0.99413,0.48481,0.000531038,0.000531038,0.000531038
23,1150.98,0.41822,0.84811,0.99641,0.46052,0.00051304,0.00051304,0.00051304
24,1201.43,0.39945,0.84681,0.99576,0.4751,0.000495041,0.000495041,0.000495041
25,1251.88,0.39516,0.8354,0.99413,0.48298,0.000477043,0.000477043,0.000477043
26,1302.05,0.37388,0.84648,0.99381,0.46052,0.000459045,0.000459045,0.000459045
27,1353.31,0.3688,0.83442,0.99446,0.48935,0.000441047,0.000441047,0.000441047
28,1403.57,0.3523,0.84909,0.99413,0.4561,0.000423049,0.000423049,0.000423049
29,1453.62,0.34065,0.84778,0.99511,0.46164,0.00040505,0.00040505,0.00040505
30,1504.22,0.33604,0.85039,0.99544,0.45509,0.000387052,0.000387052,0.000387052
31,1554.83,0.32991,0.85789,0.99544,0.44008,0.000369054,0.000369054,0.000369054
32,1605.31,0.30465,0.8543,0.99511,0.45261,0.000351056,0.000351056,0.000351056
33,1655.57,0.3021,0.85658,0.99446,0.4619,0.000333058,0.000333058,0.000333058
34,1705.82,0.28458,0.85658,0.99446,0.47858,0.000315059,0.000315059,0.000315059
35,1756.17,0.27524,0.85398,0.99544,0.46315,0.000297061,0.000297061,0.000297061
36,1806.67,0.26864,0.85398,0.99511,0.46323,0.000279063,0.000279063,0.000279063
37,1857.08,0.26504,0.85658,0.99446,0.4605,0.000261065,0.000261065,0.000261065
38,1907.65,0.25383,0.85919,0.99478,0.46656,0.000243067,0.000243067,0.000243067
39,1958.46,0.23649,0.86506,0.99478,0.46916,0.000225068,0.000225068,0.000225068
40,2009.91,0.23515,0.85724,0.99609,0.47246,0.00020707,0.00020707,0.00020707
41,2092.19,0.22837,0.85267,0.99544,0.4875,0.000189072,0.000189072,0.000189072
42,2141.59,0.21917,0.85398,0.99446,0.48212,0.000171074,0.000171074,0.000171074
43,2191.9,0.20898,0.8605,0.99413,0.47375,0.000153076,0.000153076,0.000153076
44,2242.5,0.19594,0.85756,0.99478,0.47284,0.000135077,0.000135077,0.000135077
45,2292.69,0.19015,0.86245,0.99478,0.48308,0.000117079,0.000117079,0.000117079
46,2343.6,0.18963,0.85756,0.99511,0.48795,9.9081e-05,9.9081e-05,9.9081e-05
47,2394.1,0.17783,0.85887,0.99478,0.49021,8.10828e-05,8.10828e-05,8.10828e-05
48,2444.89,0.17775,0.85724,0.99478,0.49174,6.30846e-05,6.30846e-05,6.30846e-05
49,2495.48,0.16616,0.86017,0.99511,0.49257,4.50864e-05,4.50864e-05,4.50864e-05
50,2546.1,0.17042,0.8605,0.99544,0.49554,2.70882e-05,2.70882e-05,2.70882e-05
