epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,35.9254,1.31798,0.72229,0.98566,0.80462,0.000302605,0.000302605,0.000302605
2,68.611,0.87304,0.76695,0.98924,0.66892,0.000593614,0.000593614,0.000593614
3,100.043,0.79642,0.77771,0.9912,0.63641,0.000872624,0.000872624,0.000872624
4,131.139,0.72877,0.8002,0.99348,0.57654,0.000855005,0.000855005,0.000855005
5,162.255,0.65722,0.80411,0.99185,0.54777,0.000837007,0.000837007,0.000837007
6,193.336,0.60315,0.80867,0.99478,0.52978,0.000819009,0.000819009,0.000819009
7,224.548,0.56297,0.82269,0.99413,0.51022,0.000801011,0.000801011,0.000801011
8,255.616,0.54511,0.83116,0.99511,0.4892,0.000783013,0.000783013,0.000783013
9,286.832,0.50211,0.83572,0.99413,0.4773,0.000765014,0.000765014,0.000765014
10,318.284,0.47767,0.84322,0.99674,0.47089,0.000747016,0.000747016,0.000747016
11,349.395,0.45649,0.84126,0.99446,0.46859,0.000729018,0.000729018,0.000729018
12,380.124,0.43339,0.84941,0.99413,0.44326,0.00071102,0.00071102,0.00071102
13,410.977,0.41488,0.84909,0.99576,0.45444,0.000693022,0.000693022,0.000693022
14,441.825,0.39416,0.84518,0.99641,0.46225,0.000675023,0.000675023,0.000675023
15,472.54,0.37002,0.85593,0.99478,0.43237,0.000657025,0.000657025,0.000657025
16,503.476,0.35534,0.85528,0.99609,0.44263,0.000639027,0.000639027,0.000639027
17,534.213,0.32791,0.84941,0.99707,0.46044,0.000621029,0.000621029,0.000621029
18,565.14,0.31686,0.84257,0.99772,0.44538,0.000603031,0.000603031,0.000603031
19,596.631,0.30074,0.85398,0.99641,0.45351,0.000585032,0.000585032,0.000585032
20,627.397,0.29016,0.85561,0.99511,0.45639,0.000567034,0.000567034,0.000567034
21,658.171,0.27861,0.85724,0.99674,0.45917,0.000549036,0.000549036,0.000549036
22,688.991,0.26375,0.85495,0.99674,0.46393,0.000531038,0.000531038,0.000531038
23,719.747,0.23892,0.85952,0.99478,0.47687,0.00051304,0.00051304,0.00051304
24,750.592,0.22969,0.85756,0.99511,0.47926,0.000495041,0.000495041,0.000495041
25,781.536,0.22928,0.85789,0.99413,0.47588,0.000477043,0.000477043,0.000477043
26,812.305,0.20739,0.86408,0.99478,0.48848,0.000459045,0.000459045,0.000459045
27,843.184,0.21024,0.86995,0.99674,0.4719,0.000441047,0.000441047,0.000441047
28,874.038,0.18264,0.86701,0.99739,0.47648,0.000423049,0.000423049,0.000423049
29,904.74,0.19217,0.85821,0.99707,0.47783,0.00040505,0.00040505,0.00040505
30,935.427,0.16847,0.85887,0.99772,0.50634,0.000387052,0.000387052,0.000387052
31,966.098,0.16916,0.8693,0.99641,0.48773,0.000369054,0.000369054,0.000369054
32,996.815,0.1569,0.8693,0.99576,0.49731,0.000351056,0.000351056,0.000351056
33,1027.47,0.151,0.85984,0.99641,0.51095,0.000333058,0.000333058,0.000333058
34,1058.31,0.13536,0.86213,0.99674,0.50849,0.000315059,0.000315059,0.000315059
35,1088.98,0.1327,0.8631,0.99576,0.52224,0.000297061,0.000297061,0.000297061
36,1119.67,0.11513,0.85821,0.99576,0.53031,0.000279063,0.000279063,0.000279063
37,1150.38,0.12483,0.86213,0.99674,0.50611,0.000261065,0.000261065,0.000261065
38,1181.07,0.11963,0.86473,0.99707,0.49859,0.000243067,0.000243067,0.000243067
39,1211.74,0.1118,0.86767,0.99674,0.51358,0.000225068,0.000225068,0.000225068
40,1242.44,0.10726,0.87256,0.99707,0.49752,0.00020707,0.00020707,0.00020707
41,1293.44,0.09382,0.8706,0.99804,0.51121,0.000189072,0.000189072,0.000189072
42,1323.86,0.09128,0.87842,0.99707,0.52018,0.000171074,0.000171074,0.000171074
43,1354.3,0.09055,0.87516,0.99804,0.52094,0.000153076,0.000153076,0.000153076
44,1385.32,0.07982,0.87875,0.99804,0.51436,0.000135077,0.000135077,0.000135077
45,1416.09,0.07755,0.87712,0.99837,0.5186,0.000117079,0.000117079,0.000117079
46,1446.77,0.07855,0.87321,0.99739,0.53706,9.9081e-05,9.9081e-05,9.9081e-05
47,1477.45,0.0745,0.87158,0.99772,0.55309,8.10828e-05,8.10828e-05,8.10828e-05
48,1508.16,0.07429,0.87223,0.99739,0.54631,6.30846e-05,6.30846e-05,6.30846e-05
49,1538.85,0.06916,0.86864,0.99707,0.54383,4.50864e-05,4.50864e-05,4.50864e-05
50,1569.57,0.07058,0.86832,0.99707,0.54748,2.70882e-05,2.70882e-05,2.70882e-05
