epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,148.539,1.53792,0.61441,0.97555,1.04389,0.00999521,0.00333174,0.00999521,0.00333174,0.00999521,0.00333174,0.00999521,0.00333174
2,263.067,0.88958,0.75293,0.9912,0.68644,0.0195993,0.0065331,0.0195993,0.0065331,0.0195993,0.0065331,0.0195993,0.0065331
3,364.598,0.68575,0.75196,0.9925,0.71049,0.0288074,0.00960247,0.0288074,0.00960247,0.0288074,0.00960247,0.0288074,0.00960247
4,461.343,0.63605,0.77379,0.99087,0.63855,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,558.068,0.51742,0.80606,0.99348,0.58339,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,654.572,0.43694,0.79889,0.99413,0.63388,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,751.159,0.38455,0.8279,0.99609,0.53515,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,847.881,0.34264,0.82888,0.99381,0.55782,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,944.414,0.30842,0.83181,0.99381,0.55449,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1041.13,0.29174,0.84844,0.99544,0.49746,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1138.09,0.2714,0.84387,0.99478,0.52946,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1235.48,0.25616,0.84061,0.99478,0.52981,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1332.83,0.23551,0.85104,0.99511,0.53052,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1430.2,0.22542,0.85528,0.99511,0.52475,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1527.53,0.20768,0.85887,0.99707,0.52416,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1625,0.20234,0.85952,0.99544,0.50984,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1722.36,0.19046,0.85169,0.99576,0.52246,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,1819.81,0.18663,0.85561,0.99609,0.52862,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,1917.15,0.17332,0.85724,0.99641,0.51754,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,2014.68,0.16687,0.86571,0.99609,0.51508,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,2111.93,0.15977,0.86669,0.99544,0.52126,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,2209.39,0.14872,0.86571,0.99544,0.51114,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,2306.77,0.14262,0.86538,0.99511,0.51912,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,2403.93,0.1393,0.87125,0.99544,0.51524,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,2501.19,0.13685,0.86832,0.99478,0.50916,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,2598.63,0.12201,0.8706,0.99381,0.51735,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,2696.11,0.11864,0.8693,0.99381,0.51407,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,2793.75,0.11595,0.87256,0.99446,0.50685,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,2891.25,0.10714,0.8719,0.99446,0.5035,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,2989.46,0.10471,0.87223,0.99478,0.50456,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,3088,0.09679,0.87288,0.99446,0.50765,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,3186.65,0.09648,0.87451,0.99446,0.50841,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,3284.93,0.08295,0.87581,0.99544,0.51174,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,3382.63,0.07764,0.87581,0.99511,0.51474,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,3480.46,0.08037,0.87614,0.99511,0.51696,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,3578.25,0.07241,0.87712,0.99544,0.51888,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,3676.2,0.07173,0.87744,0.99544,0.52094,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,3773.93,0.06111,0.87842,0.99511,0.52398,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,3871.72,0.05806,0.87744,0.99511,0.5251,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,3969.48,0.05152,0.87647,0.99511,0.52729,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,4089.7,0.04814,0.87647,0.99511,0.52895,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,4187.4,0.04584,0.87647,0.99544,0.53181,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,4285.38,0.04121,0.87712,0.99576,0.53235,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,4383.37,0.03879,0.87842,0.99609,0.53502,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
