epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,54.9077,1.63786,0.2764,0.87614,1.74613,0.00998084,0.00332695,0.00998084,0.00332695,0.00998084,0.00332695,0.00998084,0.00332695
2,107.107,1.03804,0.59159,0.96643,1.12779,0.0195852,0.00652841,0.0195852,0.00652841,0.0195852,0.00652841,0.0195852,0.00652841
3,158.464,0.73378,0.72197,0.98794,0.77201,0.0287936,0.00959787,0.0287936,0.00959787,0.0287936,0.00959787,0.0287936,0.00959787
4,209.589,0.57401,0.75033,0.98761,0.75981,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,259.782,0.45467,0.77966,0.9912,0.70347,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,308.89,0.38741,0.79172,0.99055,0.6785,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,360.124,0.34055,0.80476,0.98794,0.64289,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,411.2,0.30963,0.79824,0.9925,0.64341,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,461.212,0.28013,0.8015,0.98827,0.66613,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,513.173,0.26352,0.809,0.99022,0.65253,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,566.18,0.24096,0.81063,0.9899,0.65133,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,618.823,0.22921,0.81551,0.99022,0.66468,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,670.953,0.21698,0.82106,0.9925,0.63122,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,723.92,0.20868,0.81519,0.99381,0.63926,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,776.843,0.19581,0.82366,0.99348,0.60967,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,829.868,0.18453,0.82953,0.99087,0.66218,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,882.294,0.18224,0.8292,0.99413,0.648,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,936.295,0.17271,0.8279,0.9925,0.66171,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,989.838,0.16389,0.83246,0.99316,0.66791,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,1043.22,0.15652,0.82725,0.99218,0.69426,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,1096.05,0.15029,0.83703,0.99283,0.65168,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
