epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,55.2446,1.63786,0.2764,0.87614,1.74613,0.00998084,0.00332695,0.00998084,0.00332695,0.00998084,0.00332695,0.00998084,0.00332695
2,108.185,1.0415,0.57692,0.96186,1.17289,0.0193215,0.00644049,0.0193215,0.00644049,0.0193215,0.00644049,0.0193215,0.00644049
3,161.155,0.73641,0.67438,0.97621,0.95221,0.0280021,0.00933404,0.0280021,0.00933404,0.0280021,0.00933404,0.0280021,0.00933404
4,214.161,0.56515,0.76369,0.98827,0.70511,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,267.063,0.45287,0.75684,0.9899,0.74921,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,320.065,0.36983,0.78259,0.99153,0.67485,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,371.87,0.32784,0.78553,0.99185,0.70745,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,423.069,0.28909,0.79726,0.99283,0.67278,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,474.377,0.25772,0.78325,0.99413,0.7373,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,525.271,0.24179,0.80476,0.99218,0.68836,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,576.29,0.2154,0.80932,0.98892,0.67321,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,627.789,0.19725,0.809,0.98892,0.68501,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,678.714,0.18349,0.81519,0.99185,0.64217,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,729.794,0.1653,0.82008,0.99283,0.63083,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,780.924,0.16217,0.82432,0.99055,0.65064,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,831.986,0.14541,0.82953,0.9912,0.67555,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,882.728,0.13741,0.83149,0.99153,0.68501,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,934.014,0.12736,0.83279,0.99283,0.70328,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,985.596,0.11456,0.84094,0.99185,0.68809,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,1036.28,0.10848,0.83833,0.99218,0.68355,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,1111.4,0.10391,0.83246,0.99022,0.70091,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,1162.4,0.09044,0.83149,0.99218,0.70441,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,1213.17,0.07877,0.83181,0.9912,0.7264,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,1265.95,0.07774,0.8354,0.99153,0.71218,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,1319.03,0.07027,0.83866,0.99153,0.71412,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,1372.03,0.06903,0.83735,0.99218,0.71659,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,1424.91,0.06011,0.83735,0.99185,0.72048,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,1478.02,0.05447,0.83735,0.9912,0.72823,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,1530.93,0.05002,0.83735,0.9912,0.73432,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,1583.36,0.0457,0.83475,0.9912,0.73706,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
